SearchQuery,ID0,S0,ID1,S1,ID2,S2,ID3,S3,ID4,S4
blob storage,Azure.Storage.Blobs,4,Microsoft.Azure.Storage.Blob,3,,,,,,
azure.storage.common,Azure.Storage.Common,4,Azure.Storage.Blobs,3,Microsoft.Azure.Storage.Common,2,Azure.Storage.*,2,,
microsoft.windows.azure,Microsoft.Azure.*,3,Azure.*,2,,,,,,
microsoft.Azure.,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.*,3,Azure.*,2,,,,
azure storage table,Microsoft.Azure.Cosmos.Table,4,WindowsAzure.Storage,3,,,,,,
Microsoft.WindowsAzure.Storage;,WindowsAzure.Storage,4,Azure.Storage.Blobs,3,Microsoft.Azure.Storage.Blob,2,Azure.Storage.*,2,,
windows.azure.,WindowsAzure.Storage,3,Azure.*,2,,,,,,
microsoft.azure.sto,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.Storage.*,3,Azure.Storage.Blobs,2,Azure.*,1,,
azure blob storage,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.Blob,2,,,,
azure stor,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
Microsoft.WindowsAzure.Storage.,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.Storage.*,3,Azure.Storage.Blobs,2,Azure.*,1,,
azure.stora,Azure.Storage.Blobs,4,Azure.Storage.*,3,,,,,,
microsoftazure,Microsoft.Azure.*,3,Azure.*,3,,,,,,
azure stora,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
blobstorage,Azure.Storage.Blobs,4,Azure.Storage.*,3,,,,,,
azure.storage.blo,Azure.Storage.Blobs,4,Azure.Storage.*,3,,,,,,
Azure SDK,Azure.*,3,Microsoft.Azure.*,2,,,,,,
azure.storage.files,Azure.Storage.Files,4,Azure.Storage.Files.*,3,Azure.Storage.*,2,,,,
Microsoft.windowsazure,Microsoft.WindowsAzure.*,4,WindowsAzure.Storage,3,WindowsAzure.ServiceBus,3,,,,
Microsoft.Azure.Stor,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.Storage.*,3,Azure.Storage.*,2,,,,
windows.azure.storage.blob,Azure.Storage.Blobs,4,WindowsAzure.Storage,3,Microsoft.Azure.Storage.Blob,3,Azure.Storage.*,2,,
WindowsAzure.StorageExtensions,WindowsAzure.StorageExtensions,4,WindowsAzure.Storage,3,WindowsAzure.*,2,,,,
